location_id,casualties,fatalities,year,position_id,day_bool,crashtype_id,dui_bool,drugs_bool
EDWARDSTOWN,1,0,2016,Not Divided,TRUE,Right Angle,FALSE,FALSE
PLYMPTON,1,0,2016,Cross Road,FALSE,Rear End,FALSE,FALSE
WESTBOURNE PARK,1,0,2016,Not Divided,TRUE,Right Angle,FALSE,FALSE
GLENELG NORTH,1,0,2016,Divided Road,TRUE,Hit Fixed Object,FALSE,FALSE
WARRADALE,1,0,2016,T-Junction,TRUE,Right Angle,FALSE,FALSE
CLELAND,1,0,2016,Not Divided,TRUE,Hit Fixed Object,FALSE,FALSE
PORT WAKEFIELD,1,0,2016,Divided Road,TRUE,Hit Fixed Object,FALSE,FALSE
MOUNT COMPASS,1,0,2016,Not Divided,TRUE,Head On,FALSE,FALSE
TWO WELLS,1,0,2016,T-Junction,FALSE,Hit Fixed Object,FALSE,FALSE
SEAFORD MEADOWS,2,0,2016,Cross Road,TRUE,Right Turn,FALSE,FALSE
DRY CREEK,2,0,2016,Freeway,FALSE,Side Swipe,FALSE,FALSE
DERNANCOURT,1,0,2016,Divided Road,TRUE,Hit Pedestrian,FALSE,FALSE
KALANGADOO,2,0,2016,Not Divided,FALSE,Hit Parked Vehicle,FALSE,FALSE
WYE,1,0,2016,Not Divided,TRUE,Hit Fixed Object,FALSE,FALSE
ANANGU PITJANTJATJARA YANKUNYTJATARA,2,0,2016,Not Divided,TRUE,Roll Over,FALSE,FALSE
ENFIELD,1,0,2016,Divided Road,TRUE,Rear End,FALSE,FALSE
KENSINGTON,1,0,2016,T-Junction,TRUE,Right Angle,FALSE,FALSE
BARMERA,1,0,2016,Not Divided,TRUE,Hit Fixed Object,TRUE,FALSE
URRBRAE,1,0,2016,Not Divided,TRUE,Hit Fixed Object,FALSE,FALSE
ADELAIDE,1,0,2016,T-Junction,TRUE,Hit Pedestrian,FALSE,FALSE
TIKALINA,1,0,2016,Not Divided,TRUE,Roll Over,FALSE,FALSE
CHAIN OF PONDS,1,0,2016,Not Divided,TRUE,Hit Fixed Object,FALSE,FALSE
PORT WAKEFIELD,5,0,2016,T-Junction,TRUE,Right Angle,FALSE,FALSE
LOWER LIGHT,1,0,2016,Divided Road,FALSE,Hit Fixed Object,TRUE,TRUE
MILLBROOK,1,0,2016,T-Junction,TRUE,Hit Fixed Object,FALSE,FALSE
